Customer_ID,Name,City,Premium_Member
1,Saanvi Sharma,Mumbai,FALSE
2,Vihaan Verma,Bangalore,FALSE
3,Saanvi Patel,Delhi,FALSE
4,Aarav Sharma,Delhi,FALSE
5,Advik Patel,Mumbai,FALSE
6,Saanvi Patel,Noida,FALSE
7,Advik Gupta,Mumbai,FALSE
8,Vihaan Singh,Chennai,FALSE
9,Vihaan Gupta,Delhi,TRUE
10,Aarav Gupta,Chennai,FALSE
11,Aarav Singh,Ahmedabad,FALSE
12,Diya Sharma,Ahmedabad,FALSE
13,Saanvi Patel,Chennai,FALSE
14,Saanvi Sharma,Mumbai,FALSE
15,Ananya Sharma,Hyderabad,FALSE
16,Diya Gupta,Gurgaon,FALSE
17,Ananya Verma,Chennai,FALSE
18,Saanvi Gupta,Jaipur,FALSE
19,Saanvi Sharma,Kolkata,FALSE
20,Advik Verma,Bangalore,FALSE
21,Ananya Patel,Hyderabad,FALSE
22,Aarav Verma,Mumbai,FALSE
23,Diya Gupta,Delhi,FALSE
24,Advik Gupta,Hyderabad,FALSE
25,Diya Singh,Bangalore,FALSE
26,Vihaan Patel,Ahmedabad,FALSE
27,Advik Singh,Kolkata,FALSE
28,Vihaan Verma,Ahmedabad,FALSE
29,Aarav Sharma,Bangalore,FALSE
30,Saanvi Singh,Kolkata,TRUE
31,Diya Patel,Gurgaon,FALSE
32,Advik Sharma,Lucknow,FALSE
33,Saanvi Patel,Pune,FALSE
34,Ananya Sharma,Pune,FALSE
35,Diya Sharma,Jaipur,FALSE
36,Ananya Patel,Bangalore,FALSE
37,Aarav Gupta,Lucknow,FALSE
38,Vihaan Verma,Chennai,FALSE
39,Advik Patel,Mumbai,FALSE
40,Diya Sharma,Delhi,FALSE
41,Ananya Verma,Mumbai,FALSE
42,Advik Sharma,Delhi,FALSE
43,Aarav Patel,Bangalore,FALSE
44,Diya Patel,Bangalore,FALSE
45,Advik Singh,Hyderabad,FALSE
46,Saanvi Verma,Jaipur,FALSE
47,Saanvi Gupta,Gurgaon,FALSE
48,Diya Sharma,Hyderabad,FALSE
49,Ananya Sharma,Kolkata,FALSE
50,Advik Verma,Mumbai,TRUE
51,Saanvi Sharma,Hyderabad,TRUE
52,Aarav Gupta,Delhi,FALSE
53,Ananya Singh,Hyderabad,FALSE
54,Saanvi Patel,Kolkata,FALSE
55,Diya Singh,Hyderabad,TRUE
56,Saanvi Singh,Chennai,FALSE
57,Diya Sharma,Lucknow,FALSE
58,Saanvi Sharma,Mumbai,FALSE
59,Ananya Sharma,Hyderabad,FALSE
60,Advik Singh,Bangalore,FALSE
61,Ananya Singh,Hyderabad,FALSE
62,Aarav Singh,Ahmedabad,TRUE
63,Saanvi Patel,Mumbai,FALSE
64,Vihaan Verma,Noida,FALSE
65,Vihaan Singh,Mumbai,FALSE
66,Aarav Singh,Pune,FALSE
67,Diya Gupta,Noida,FALSE
68,Saanvi Patel,Lucknow,FALSE
69,Vihaan Verma,Pune,FALSE
70,Aarav Patel,Jaipur,FALSE
71,Saanvi Gupta,Mumbai,TRUE
72,Diya Patel,Ahmedabad,FALSE
73,Advik Sharma,Bangalore,TRUE
74,Aarav Verma,Noida,FALSE
75,Advik Verma,Kolkata,FALSE
76,Advik Sharma,Noida,FALSE
77,Advik Patel,Chennai,FALSE
78,Vihaan Gupta,Hyderabad,FALSE
79,Vihaan Gupta,Gurgaon,FALSE
80,Aarav Sharma,Gurgaon,FALSE
81,Advik Sharma,Delhi,FALSE
82,Advik Gupta,Bangalore,FALSE
83,Aarav Verma,Chennai,FALSE
84,Diya Patel,Jaipur,FALSE
85,Saanvi Patel,Mumbai,FALSE
86,Advik Gupta,Lucknow,FALSE
87,Vihaan Gupta,Delhi,FALSE
88,Saanvi Patel,Bangalore,FALSE
89,Advik Verma,Jaipur,FALSE
90,Saanvi Gupta,Ahmedabad,FALSE
91,Aarav Sharma,Lucknow,FALSE
92,Ananya Sharma,Mumbai,FALSE
93,Vihaan Gupta,Bangalore,FALSE
94,Advik Singh,Ahmedabad,TRUE
